Agency_Name,Outlayed_Amount
"Department of Energy",18071.15
"Department of Energy",0.00
"Department of Energy",550.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",282718.35
"Department of Energy",10190907.97
"Department of Energy",724404.63
"Department of Energy",1478252.23
"Department of Energy",663380.37
"Department of Energy",1466481.96
"Department of Energy",324885.49
"Department of Energy",132346.03
"Department of Energy",1720541.93
"Department of Energy",6893.00
"Department of Energy",239137.03
"Department of Energy",62351.75
"Department of Energy",274858.32
"Department of Energy",6049538.62
"Department of Energy",18662786.13
"Department of Energy",71449209.37
"Department of Energy",3114955.31
"Department of Energy",22146484.74
"Department of Energy",123430.87
"Department of Energy",153436.40
"Department of Energy",1447442.96
"Department of Energy",1819245.53
"Department of Energy",5999121.14
"Department of Energy",794982.73
"Department of Energy",6571845.74
"Department of Energy",0.00
"Department of Energy",158943.88
"Department of Energy",0.00
"Department of Energy",2456.62
"Department of Energy",20233.89
"Department of Energy",71980.00
"Department of Energy",209216.19
"Department of Energy",101949.86
"Department of Energy",461958.72
"Department of Energy",794892.97
"Department of Energy",552876.93
"Department of Energy",10584.00
"Department of Energy",11672.10
"Department of Energy",77374.91
"Department of Energy",0.00
"Department of Energy",24000.93
"Department of Energy",2841597.64
"Department of Energy",7963293.52
"Department of Energy",2944121.25
"Department of Energy",344685.97
"Department of Energy",468574.25
"Department of Energy",181101.84
"Department of Energy",0.00
"Department of Energy",50000.00
"Department of Energy",25000.00
"Department of Energy",50000.00
"Department of Energy",1311438.94
"Department of Energy",7920.81
"Department of Energy",7920.81
"Department of Energy",18890.87
"Department of Energy",548410.01
"Department of Energy",177788.71
"Department of Energy",2013.58
"Department of Energy",8499.29
"Department of Energy",1629.44
"Department of Energy",92653.87
"Department of Energy",550.00
"Department of Energy",6016.83
"Department of Energy",3578.77
"Department of Energy",7365.38
"Department of Energy",3692.50
"Department of Energy",0.00
"Department of Energy",11119.05
"Department of Energy",0.00
"Department of Energy",946345.25
"Department of Energy",120296.61
"Department of Energy",10580.96
"Department of Energy",46744.96
"Department of Energy",17366.60
"Department of Energy",4025603.89
"Department of Energy",59805.00
"Department of Energy",469087.00
"Department of Energy",246000.00
"Department of Energy",245663.00
"Department of Energy",60499.00
"Department of Energy",1442782.28
"Department of Energy",49064.50
"Department of Energy",92925.00
"Department of Energy",23132.40
"Department of Energy",186347.81
"Department of Energy",15476.56
"Department of Energy",81071.67
"Department of Energy",0.00
"Department of Energy",50869.40
"Department of Energy",0.00
"Department of Energy",71675.66
"Department of Energy",104095.99
"Department of Energy",75853.44
"Department of Energy",1676094.42
"Department of Energy",362018.29
"Department of Energy",611803.56
"Department of Energy",675570.06
"Department of Energy",162000.00
"Department of Energy",639691.85
"Department of Energy",554000.00
"Department of Energy",2787925.65
"Department of Energy",304500.00
"Department of Energy",859375.00
"Department of Energy",2772200.31
"Department of Energy",34191008.39
"Department of Energy",1536574.22
"Department of Energy",249898.95
"Department of Energy",565878.00
"Department of Energy",223177.92
"Department of Energy",506597.50
"Department of Energy",596584.61
"Department of Energy",64575.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",2757620.86
"Department of Energy",3423461.68
"Department of Energy",2935998.82
"Department of Energy",13762508.92
"Department of Energy",1707014.68
"Department of Energy",0.00
"Department of Energy",769440.00
"Department of Energy",4048849.05
"Department of Energy",206497.17
"Department of Energy",9951042.29
"Department of Energy",440713.07
"Department of Energy",122633.20
"Department of Energy",69432.65
"Department of Energy",549400.00
"Department of Energy",291171.66
"Department of Energy",2419789.89
"Department of Energy",4937665.48
"Department of Energy",3718.45
"Department of Energy",17711.19
"Department of Energy",0.00
"Department of Energy",188156.80
"Department of Energy",794013.75
"Department of Energy",30637468.20
"Department of Energy",782085.86
"Department of Energy",194021.87
"Department of Energy",0.00
"Department of Energy",14894.50
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",550.00
"Department of Energy",3253.80
"Department of Energy",19921.13
"Department of Energy",0.00
"Department of Energy",30148.15
"Department of Energy",0.00
"Department of Energy",34692.06
"Department of Energy",22189.80
"Department of Energy",1920164.73
"Department of Energy",859430.83
"Department of Energy",33433.00
"Department of Energy",0.00
"Department of Energy",63937.49
"Department of Energy",5756563.29
"Department of Energy",414481.16
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",4997179.74
"Department of Energy",1547050.41
"Department of Energy",40100.56
"Department of Energy",8503.56
"Department of Energy",37200.00
"Department of Energy",1400000.00
"Department of Energy",376497.50
"Department of Energy",112575.64
"Department of Energy",145674.84
"Department of Energy",161137.62
"Department of Energy",32830166.42
"Department of Energy",3045522.23
"Department of Energy",37283636.74
"Department of Energy",247791.14
"Department of Energy",6302229.05
"Department of Energy",3274555.83
"Department of Energy",3101896.23
"Department of Energy",1165597.75
"Department of Energy",135422.61
"Department of Energy",93983.74
"Department of Energy",424951.32
"Department of Energy",300388.65
"Department of Energy",599238.89
"Department of Energy",1302894.82
"Department of Energy",23112.36
"Department of Energy",388.03
"Department of Energy",12330.83
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",63439.57
"Department of Energy",180530.92
"Department of Energy",8375.74
"Department of Energy",24418.34
"Department of Energy",31856.43
"Department of Energy",1322780.30
"Department of Energy",26777829.77
"Department of Energy",19149618.92
"Department of Energy",4925603.30
"Department of Energy",245297.95
"Department of Energy",235259.01
"Department of Energy",206230.57
"Department of Energy",17625210.00
"Department of Energy",433293.76
"Department of Energy",0.00
"Department of Energy",283801.03
"Department of Energy",2497.00
"Department of Energy",855634.95
"Department of Energy",9417262.02
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",356349.18
"Department of Energy",0.00
"Department of Energy",517948.10
"Department of Energy",49490.10
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",173871.80
"Department of Energy",470234.05
"Department of Energy",300876.79
"Department of Energy",1542324.29
"Department of Energy",36336.27
"Department of Energy",207866.01
"Department of Energy",137123.06
"Department of Energy",53683.52
"Department of Energy",1492697.22
"Department of Energy",24380950.34
"Department of Energy",360000.00
"Department of Energy",120666.83
"Department of Energy",71415.09
"Department of Energy",578468.58
"Department of Energy",272350.64
"Department of Energy",554478.00
"Department of Energy",8133.31
"Department of Energy",8133.32
"Department of Energy",32305.32
"Department of Energy",4089.76
"Department of Energy",18020.00
"Department of Energy",0.00
"Department of Energy",588678.44
"Department of Energy",94662.25
"Department of Energy",59610.77
"Department of Energy",0.00
"Department of Energy",41779.80
"Department of Energy",647182.71
"Department of Energy",135869.09
"Department of Energy",39503.72
"Department of Energy",0.00
"Department of Energy",313422.52
"Department of Energy",13041.35
"Department of Energy",3440283.28
"Department of Energy",6164025.31
"Department of Energy",156806.04
"Department of Energy",50000.00
"Department of Energy",299502.20
"Department of Energy",46854.87
"Department of Energy",643880.38
"Department of Energy",23998.34
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",7731.64
"Department of Energy",34190.50
"Department of Energy",22588.00
"Department of Energy",31635.11
"Department of Energy",27598.98
"Department of Energy",11134.37
"Department of Energy",13643.01
"Department of Energy",0.00
"Department of Energy",155315.83
"Department of Energy",3698092.63
"Department of Energy",4248631.65
"Department of Energy",1868725.60
"Department of Energy",94321.72
"Department of Energy",25784.26
"Department of Energy",9492.11
"Department of Energy",269971.99
"Department of Energy",30590.00
"Department of Energy",15000.00
"Department of Energy",17500.00
"Department of Energy",311763.44
"Department of Energy",40323.30
"Department of Energy",25000.00
"Department of Energy",214620.00
"Department of Energy",31000.00
"Department of Energy",36000.00
"Department of Energy",19980.00
"Department of Energy",30903.75
"Department of Energy",56928.00
"Department of Energy",62704.72
"Department of Energy",83388.00
"Department of Energy",18180.00
"Department of Energy",56395.73
"Department of Energy",14280.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",36587.94
"Department of Energy",0.00
"Department of Energy",55742.00
"Department of Energy",4446.00
"Department of Energy",84085.00
"Department of Energy",780000.00
"Department of Energy",30000.00
"Department of Energy",78907.62
"Department of Energy",174250.00
"Department of Energy",205398.72
"Department of Energy",200000.00
"Department of Energy",1932334.97
"Department of Energy",94575.00
"Department of Energy",55237.00
"Department of Energy",243740.00
"Department of Energy",277500.00
"Department of Energy",790783.06
"Department of Energy",0.00
"Department of Energy",50000.05
"Department of Energy",230405.25
"Department of Energy",180693.75
"Department of Energy",350172.51
"Department of Energy",186877.73
"Department of Energy",410855.45
"Department of Energy",328200.00
"Department of Energy",395442.52
"Department of Energy",133332.00
"Department of Energy",1181594.13
"Department of Energy",308253.75
"Department of Energy",94000.00
"Department of Energy",444426.25
"Department of Energy",64416.25
"Department of Energy",347179.50
"Department of Energy",312207.75
"Department of Energy",59468.50
"Department of Energy",205154.00
"Department of Energy",224392.50
"Department of Energy",309325.15
"Department of Energy",1763615.63
"Department of Energy",146076.97
"Department of Energy",1087914.39
"Department of Energy",438000.00
"Department of Energy",3769912.87
"Department of Energy",2610303.19
"Department of Energy",146825.00
"Department of Energy",2252612.92
"Department of Energy",1210275.31
"Department of Energy",33303.90
"Department of Energy",1657818.99
"Department of Energy",31876.50
"Department of Energy",93435.21
"Department of Energy",64800.00
"Department of Energy",43500.00
"Department of Energy",1626783.01
"Department of Energy",454334.68
"Department of Energy",85412.75
"Department of Energy",165370.00
"Department of Energy",668518.62
"Department of Energy",410005.94
"Department of Energy",6050694.37
"Department of Energy",135203.25
"Department of Energy",844732.50
"Department of Energy",1952619.57
"Department of Energy",253223.00
"Department of Energy",3289054.14
"Department of Energy",104590.00
"Department of Energy",677411.50
"Department of Energy",0.00
"Department of Energy",77665.95
"Department of Energy",3720.07
"Department of Energy",55313.32
"Department of Energy",928602.07
"Department of Energy",31089.00
"Department of Energy",223135.50
"Department of Energy",1299251.39
"Department of Energy",363236.34
"Department of Energy",12086.85
"Department of Energy",523815.99
"Department of Energy",131625.00
"Department of Energy",85600.00
"Department of Energy",870754.37
"Department of Energy",95555.90
"Department of Energy",139752.00
"Department of Energy",17681.25
"Department of Energy",142537.64
"Department of Energy",47460.60
"Department of Energy",1350657.04
"Department of Energy",17305092.64
"Department of Energy",270236.88
"Department of Energy",272717.74
"Department of Energy",293738.99
"Department of Energy",150471.56
"Department of Energy",512292.95
"Department of Energy",231798.86
"Department of Energy",115152.56
"Department of Energy",792904.91
"Department of Energy",3413213.57
"Department of Energy",302465.30
"Department of Energy",690271.34
"Department of Energy",44088.00
"Department of Energy",75089.11
"Department of Energy",125820.81
"Department of Energy",10829.03
"Department of Energy",11679.16
"Department of Energy",42597.69
"Department of Energy",28638.96
"Department of Energy",32464.87
"Department of Energy",21955.36
"Department of Energy",27541.96
"Department of Energy",20797.32
"Department of Energy",85004.00
"Department of Energy",1035386.63
"Department of Energy",41268.12
"Department of Energy",15000.00
"Department of Energy",15000.00
"Department of Energy",3209844.81
"Department of Energy",96201.23
"Department of Energy",101261.37
"Department of Energy",8560.53
"Department of Energy",2921900.30
"Department of Energy",4131655.54
"Department of Energy",2249860.13
"Department of Energy",1342620.52
"Department of Energy",232843.45
"Department of Energy",54705.82
"Department of Energy",240095.10
"Department of Energy",531862.12
"Department of Energy",35099.81
"Department of Energy",1593583.81
"Department of Energy",39120.00
"Department of Energy",1278539.48
"Department of Energy",194527.27
"Department of Energy",1218382.91
"Department of Energy",29709.00
"Department of Energy",1548800.84
"Department of Energy",9143.17
"Department of Energy",2566614.43
"Department of Energy",49200.00
"Department of Energy",3920970.29
"Department of Energy",43433.32
"Department of Energy",280571.90
"Department of Energy",19900.00
"Department of Energy",30961.45
"Department of Energy",22607.16
"Department of Energy",4764.85
"Department of Energy",0.00
"Department of Energy",257489.28
"Department of Energy",653664.89
"Department of Energy",379807.01
"Department of Energy",321674.98
"Department of Energy",471593.76
"Department of Energy",92389.00
"Department of Energy",2396558.27
"Department of Energy",15733051.39
"Department of Energy",3016417.07
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",245262.41
"Department of Energy",2365610.05
"Department of Energy",317847.32
"Department of Energy",6618811.55
"Department of Energy",102162615.87
"Department of Energy",460318.64
"Department of Energy",1800455.90
"Department of Energy",211018.96
"Department of Energy",4177157.84
"Department of Energy",5065598.73
"Department of Energy",1009637.50
"Department of Energy",18193161.48
"Department of Energy",166286.40
"Department of Energy",804774.96
"Department of Energy",104531.59
"Department of Energy",317740.69
"Department of Energy",11768953.26
"Department of Energy",736786.30
"Department of Energy",571460.00
"Department of Energy",255620.08
"Department of Energy",273838.35
"Department of Energy",55661.44
"Department of Energy",165975.42
"Department of Energy",281682.99
"Department of Energy",134265.28
"Department of Energy",79782177.47
"Department of Energy",55744753.53
"Department of Energy",19408951.37
"Department of Energy",634064.28
"Department of Energy",237998.11
"Department of Energy",192396.90
"Department of Energy",249833.83
"Department of Energy",95629.50
"Department of Energy",99639.80
"Department of Energy",236577.64
"Department of Energy",951248.76
"Department of Energy",892961.24
"Department of Energy",39320.45
"Department of Energy",0.00
"Department of Energy",298489.84
"Department of Energy",1851729.40
"Department of Energy",727834.69
"Department of Energy",16276.60
"Department of Energy",157453.34
"Department of Energy",37259.00
"Department of Energy",302209.47
"Department of Energy",17225.41
"Department of Energy",27687.41
"Department of Energy",72819.74
"Department of Energy",64754.00
"Department of Energy",468316.84
"Department of Energy",197972.23
"Department of Energy",150931.82
"Department of Energy",34545.76
"Department of Energy",402323.97
"Department of Energy",13369.98
"Department of Energy",15755.92
"Department of Energy",305017.52
"Department of Energy",21089.93
"Department of Energy",22272.10
"Department of Energy",49890.00
"Department of Energy",9750.00
"Department of Energy",49020.00
"Department of Energy",66777.68
"Department of Energy",54019.05
"Department of Energy",3693712.19
"Department of Energy",107771.17
"Department of Energy",37812.00
"Department of Energy",18781.45
"Department of Energy",28458.13
"Department of Energy",16820.20
"Department of Energy",29017.29
"Department of Energy",17473.95
"Department of Energy",29702.00
"Department of Energy",20000.00
"Department of Energy",37307.67
"Department of Energy",516990.52
"Department of Energy",19752.22
"Department of Energy",47230.29
"Department of Energy",28387.46
"Department of Energy",696535.36
"Department of Energy",18781.45
"Department of Energy",54863.96
"Department of Energy",15476.13
"Department of Energy",51259.36
"Department of Energy",10990.60
"Department of Energy",67168.60
"Department of Energy",11410.82
"Department of Energy",12666.85
"Department of Energy",1321940.04
"Department of Energy",18666.04
"Department of Energy",6666.75
"Department of Energy",504383.56
"Department of Energy",16822.42
"Department of Energy",23267.33
"Department of Energy",37814.29
"Department of Energy",18435.74
"Department of Energy",18070.08
"Department of Energy",59973.43
"Department of Energy",4383413.00
"Department of Energy",8173.92
"Department of Energy",98469.47
"Department of Energy",28456.00
"Department of Energy",67762.80
"Department of Energy",20000.00
"Department of Energy",11093.83
"Department of Energy",18260.66
"Department of Energy",68639.68
"Department of Energy",14242.20
"Department of Energy",17485.03
"Department of Energy",12797.60
"Department of Energy",0.00
"Department of Energy",19871.00
"Department of Energy",60443.21
"Department of Energy",235384.43
"Department of Energy",24936.38
"Department of Energy",17077.27
"Department of Energy",9716.92
"Department of Energy",31219.68
"Department of Energy",149295.58
"Department of Energy",12819.03
"Department of Energy",263382.00
"Department of Energy",167900.23
"Department of Energy",230438.44
"Department of Energy",14037.04
"Department of Energy",25000.00
"Department of Energy",121510.90
"Department of Energy",11693.00
"Department of Energy",54668.98
"Department of Energy",11950.38
"Department of Energy",0.00
"Department of Energy",25000.00
"Department of Energy",155265.85
"Department of Energy",79788.06
"Department of Energy",34200.00
"Department of Energy",10736.73
"Department of Energy",0.00
"Department of Energy",14600.14
"Department of Energy",11478.46
"Department of Energy",24839.81
"Department of Energy",12254.63
"Department of Energy",197799.14
"Department of Energy",41383.33
"Department of Energy",17365.10
"Department of Energy",0.00
"Department of Energy",109112.62
"Department of Energy",13362.81
"Department of Energy",12541.91
"Department of Energy",26873.55
"Department of Energy",127038.09
"Department of Energy",0.00
"Department of Energy",38820.02
"Department of Energy",35505.04
"Department of Energy",9372.27
"Department of Energy",72491.20
"Department of Energy",16594.72
"Department of Energy",12852.00
"Department of Energy",98194.07
"Department of Energy",12737.61
"Department of Energy",746425.26
"Department of Energy",258052.74
"Department of Energy",44401.00
"Department of Energy",48234.42
"Department of Energy",70389.25
"Department of Energy",99175.00
"Department of Energy",0.00
"Department of Energy",97155.50
"Department of Energy",39779.84
"Department of Energy",38837.09
"Department of Energy",25979.90
"Department of Energy",16001.40
"Department of Energy",37229.27
"Department of Energy",20543.81
"Department of Energy",29165.66
"Department of Energy",52035.21
"Department of Energy",29901.53
"Department of Energy",13289.13
"Department of Energy",24882.76
"Department of Energy",23455.45
"Department of Energy",33214.74
"Department of Energy",26589.12
"Department of Energy",8621.44
"Department of Energy",31722.91
"Department of Energy",44462.01
"Department of Energy",8430.08
"Department of Energy",32994.08
"Department of Energy",38636.79
"Department of Energy",10933.96
"Department of Energy",21906.61
"Department of Energy",3323.88
"Department of Energy",61960.53
"Department of Energy",24352.39
"Department of Energy",36771.01
"Department of Energy",472733.45
"Department of Energy",68418.57
"Department of Energy",2383633.98
"Department of Energy",185751.22
"Department of Energy",77458.00
"Department of Energy",10625.42
"Department of Energy",483471.91
"Department of Energy",41575.17
"Department of Energy",56650.56
"Department of Energy",330246.06
"Department of Energy",10204.27
"Department of Energy",53127.50
"Department of Energy",86724.66
"Department of Energy",145276.63
"Department of Energy",14970.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",6000.00
"Department of Energy",25000.00
"Department of Energy",82396.20
"Department of Energy",1777882.36
"Department of Energy",2810694.00
"Department of Energy",229906.00
"Department of Energy",16877.00
"Department of Energy",89586.60
"Department of Energy",97376.50
"Department of Energy",82000.00
"Department of Energy",79315.00
"Department of Energy",16434.00
"Department of Energy",150000.00
"Department of Energy",47320.46
"Department of Energy",19987.48
"Department of Energy",303888.00
"Department of Energy",169785.00
"Department of Energy",27700.00
"Department of Energy",36679.90
"Department of Energy",15000.00
"Department of Energy",24980.00
"Department of Energy",16181.00
"Department of Energy",80514.00
"Department of Energy",3318.75
"Department of Energy",8705.00
"Department of Energy",52140.00
"Department of Energy",71500.00
"Department of Energy",20658.47
"Department of Energy",25000.00
"Department of Energy",2500.00
"Department of Energy",10465.95
"Department of Energy",13455.00
"Department of Energy",87466.00
"Department of Energy",13864.29
"Department of Energy",16200.00
"Department of Energy",14625.84
"Department of Energy",95242.48
"Department of Energy",62268.00
"Department of Energy",19580.00
"Department of Energy",14375.95
"Department of Energy",19500.00
"Department of Energy",211287.89
"Department of Energy",30068.99
"Department of Energy",47592.00
"Department of Energy",0.00
"Department of Energy",26000.00
"Department of Energy",97804.00
"Department of Energy",17500.00
"Department of Energy",17580.00
"Department of Energy",40501.00
"Department of Energy",12000.00
"Department of Energy",62597.00
"Department of Energy",29879.56
"Department of Energy",10270.00
"Department of Energy",17480.70
"Department of Energy",7151.88
"Department of Energy",22314.00
"Department of Energy",16285.56
"Department of Energy",12000.00
"Department of Energy",30215.12
"Department of Energy",156199.00
"Department of Energy",20000.00
"Department of Energy",14000.00
"Department of Energy",24375.00
"Department of Energy",75600.00
"Department of Energy",0.00
"Department of Energy",21762.55
"Department of Energy",559.48
"Department of Energy",41100.00
"Department of Energy",221168.47
"Department of Energy",135000.00
"Department of Energy",50022.30
"Department of Energy",13800.00
"Department of Energy",2040.30
"Department of Energy",0.00
"Department of Energy",5057686.94
"Department of Energy",3416711.99
"Department of Energy",78319.40
"Department of Energy",369420.82
"Department of Energy",1575.00
"Department of Energy",12324.00
"Department of Energy",41365.00
"Department of Energy",1684.00
"Department of Energy",13000.00
"Department of Energy",5119.22
"Department of Energy",4625.92
"Department of Energy",0.00
"Department of Energy",46482.58
"Department of Energy",26197.50
"Department of Energy",3715.50
"Department of Energy",4782.76
"Department of Energy",14072.10
"Department of Energy",7576.00
"Department of Energy",121698.80
"Department of Energy",97044.00
"Department of Energy",0.00
"Department of Energy",15019.95
"Department of Energy",179001.35
"Department of Energy",9243.60
"Department of Energy",118331.44
"Department of Energy",14299.60
"Department of Energy",397554.59
"Department of Energy",16870.50
"Department of Energy",63917.52
"Department of Energy",42470.29
"Department of Energy",25796.64
"Department of Energy",5575831.00
"Department of Energy",2328000.29
"Department of Energy",9589.29
"Department of Energy",8658.00
"Department of Energy",49807.50
"Department of Energy",55119.33
"Department of Energy",9683.73
"Department of Energy",18672.50
"Department of Energy",68270.84
"Department of Energy",16903.43
"Department of Energy",9182.66
"Department of Energy",3198.75
"Department of Energy",20235.00
"Department of Energy",17004.30
"Department of Energy",43384.02
"Department of Energy",11481.92
"Department of Energy",14232.37
"Department of Energy",7354.00
"Department of Energy",8255.75
"Department of Energy",74956.07
"Department of Energy",9729.10
"Department of Energy",5580.42
"Department of Energy",139628.14
"Department of Energy",90100.00
"Department of Energy",13020.81
"Department of Energy",36471.50
"Department of Energy",3153.00
"Department of Energy",0.00
"Department of Energy",16778.00
"Department of Energy",257913.68
"Department of Energy",10671.49
"Department of Energy",5402.80
"Department of Energy",7423.24
"Department of Energy",9230.00
"Department of Energy",328.00
"Department of Energy",19921.88
"Department of Energy",13646.85
"Department of Energy",23768.36
"Department of Energy",14564.00
"Department of Energy",20721.54
"Department of Energy",235972.25
"Department of Energy",59500.00
"Department of Energy",46907.06
"Department of Energy",15195.49
"Department of Energy",31783.75
"Department of Energy",6960.00
"Department of Energy",140068.10
"Department of Energy",7458.30
"Department of Energy",30970.59
"Department of Energy",28690.44
"Department of Energy",9773.00
"Department of Energy",162638.74
"Department of Energy",86154.06
"Department of Energy",73500.00
"Department of Energy",30975.00
"Department of Energy",19412.52
"Department of Energy",99318.40
"Department of Energy",88400.00
"Department of Energy",1658862.97
"Department of Energy",30380.00
"Department of Energy",39534.25
"Department of Energy",5420.58
"Department of Energy",14461.06
"Department of Energy",6537.49
"Department of Energy",5880.00
"Department of Energy",1354041.55
"Department of Energy",2583926.99
"Department of Energy",37947592.82
"Department of Energy",14346009.19
"Department of Energy",3376473.80
"Department of Energy",16934.53
"Department of Energy",7925.00
"Department of Energy",69873.36
"Department of Energy",1126429.30
"Department of Energy",6698139.89
"Department of Energy",14019.80
"Department of Energy",0.00
"Department of Energy",100455.63
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",292035.77
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",187966.58
"Department of Energy",200398.71
"Department of Energy",0.00
"Department of Energy",1281790.35
"Department of Energy",224806.30
"Department of Energy",40796.79
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",39953.63
"Department of Energy",0.00
"Department of Energy",72000.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",78095694.95
"Department of Energy",85408.88
"Department of Energy",107656.92
"Department of Energy",76252905.77
"Department of Energy",1438933.68
"Department of Energy",115473.43
"Department of Energy",384212.08
"Department of Energy",254790.72
"Department of Energy",340193.12
"Department of Energy",23526.33
"Department of Energy",4279427.29
"Department of Energy",1058613.77
"Department of Energy",6459511.87
"Department of Energy",2148976.79
"Department of Energy",350537.37
"Department of Energy",346860.42
"Department of Energy",1110008.14
"Department of Energy",2407144.32
"Department of Energy",965276.08
"Department of Energy",1392278.22
"Department of Energy",421113.71
"Department of Energy",919684.66
"Department of Energy",118222.22
"Department of Energy",98897.08
"Department of Energy",140908.80
"Department of Energy",0.00
"Department of Energy",12263.14
"Department of Energy",2717998.74
"Department of Energy",212090161.43
"Department of Energy",722394.88
"Department of Energy",277792.93
"Department of Energy",168439.96
"Department of Energy",2774436.78
"Department of Energy",915118.62
"Department of Energy",1804207.65
"Department of Energy",4967251.81
"Department of Energy",110060.38
"Department of Energy",54790.31
"Department of Energy",1721662.73
"Department of Energy",1100614.46
"Department of Energy",1357789.42
"Department of Energy",415702.66
"Department of Energy",272350.28
"Department of Energy",18391706.06
"Department of Energy",959748.65
"Department of Energy",42843.92
"Department of Energy",52249.53
"Department of Energy",183603.51
"Department of Energy",637973.08
"Department of Energy",60093.00
"Department of Energy",1374223.75
"Department of Energy",48968.75
"Department of Energy",37728.45
"Department of Energy",1981736.39
"Department of Energy",770214.48
"Department of Energy",766031.83
"Department of Energy",243899.08
"Department of Energy",674716.67
"Department of Energy",495890.29
"Department of Energy",189253.91
"Department of Energy",643014.79
"Department of Energy",57800.00
"Department of Energy",61338.00
"Department of Energy",535.00
"Department of Energy",14958.08
"Department of Energy",78758.58
"Department of Energy",154827.44
"Department of Energy",64658.00
"Department of Energy",51327.38
"Department of Energy",196265.43
"Department of Energy",394332.76
"Department of Energy",63527273.96
"Department of Energy",346570.40
"Department of Energy",213504.00
"Department of Energy",2374349.11
"Department of Energy",16862.48
"Department of Energy",404664.38
"Department of Energy",510423.33
"Department of Energy",360613.71
"Department of Energy",2108391.49
"Department of Energy",147713.04
"Department of Energy",2688.90
"Department of Energy",364484.41
"Department of Energy",283845.05
"Department of Energy",158326.71
"Department of Energy",1130324.28
"Department of Energy",8370021.30
"Department of Energy",15900.00
"Department of Energy",16694167.79
"Department of Energy",132000.00
"Department of Energy",156000.00
"Department of Energy",29350.00
"Department of Energy",23986.98
"Department of Energy",243815.56
"Department of Energy",19352.29
"Department of Energy",9231351.53
"Department of Energy",98970.19
"Department of Energy",4160096.70
"Department of Energy",24983.00
"Department of Energy",7665.00
"Department of Energy",107000.00
"Department of Energy",2003347.00
"Department of Energy",14176.48
"Department of Energy",76465.32
"Department of Energy",149208.24
"Department of Energy",577327.65
"Department of Energy",206826.06
"Department of Energy",177323.77
"Department of Energy",318256.48
"Department of Energy",1709034.52
"Department of Energy",268160.55
"Department of Energy",4271333.52
"Department of Energy",1078809.33
"Department of Energy",1275017.35
"Department of Energy",1888778.50
"Department of Energy",118108.04
"Department of Energy",303625.38
"Department of Energy",711470.46
"Department of Energy",148733.62
"Department of Energy",202065.33
"Department of Energy",0.00
"Department of Energy",242362.77
"Department of Energy",10242218.00
"Department of Energy",624134.65
"Department of Energy",51555.33
"Department of Energy",19747787.21
"Department of Energy",539980.76
"Department of Energy",0.00
"Department of Energy",49762467.38
"Department of Energy",65563.65
"Department of Energy",28562.88
"Department of Energy",423242.37
"Department of Energy",12651.20
"Department of Energy",1210632.43
"Department of Energy",209782.71
"Department of Energy",3768468.37
"Department of Energy",25542.40
"Department of Energy",86969.28
"Department of Energy",20771860.81
"Department of Energy",23075.00
"Department of Energy",432253.49
"Department of Energy",42233.20
"Department of Energy",196353.58
"Department of Energy",254071.72
"Department of Energy",355525.83
"Department of Energy",17844.55
"Department of Energy",137152.69
"Department of Energy",27840.00
"Department of Energy",624781.85
"Department of Energy",2113150.00
"Department of Energy",131253.21
"Department of Energy",0.00
"Department of Energy",210222.50
"Department of Energy",29176.46
"Department of Energy",580071.42
"Department of Energy",400912.61
"Department of Energy",11415.08
"Department of Energy",8220422.61
"Department of Energy",131190.40
"Department of Energy",201585.49
"Department of Energy",13132.04
"Department of Energy",20000.00
"Department of Energy",15576.00
"Department of Energy",4069.80
"Department of Energy",34849.86
"Department of Energy",5758.64
"Department of Energy",30000.00
"Department of Energy",1098.00
"Department of Energy",80616.00
"Department of Energy",982422.48
"Department of Energy",1601855.35
"Department of Energy",350287.06
"Department of Energy",6797985.86
"Department of Energy",0.00
"Department of Energy",23244168.95
"Department of Energy",15243605.21
"Department of Energy",15500.00
"Department of Energy",464574.95
"Department of Energy",582770.85
"Department of Energy",608622.52
"Department of Energy",2643727.63
"Department of Energy",8384023.11
"Department of Energy",4545.00
"Department of Energy",107368796.05
"Department of Energy",127932.96
"Department of Energy",1962538.01
"Department of Energy",2807782.10
"Department of Energy",1683208.45
"Department of Energy",57483.00
"Department of Energy",91209.59
"Department of Energy",318180.94
"Department of Energy",75135.22
"Department of Energy",7613836.55
"Department of Energy",2362439.99
"Department of Energy",121534.90
